Year,Area,Street,Street 2,Strange HTML
2011,Birmingham," Armardaí«Pub,í«Gravellyí«Hill"," Armarda Pub, Gravelly Hill",
2011,Birmingham,BADGERSí«BANKí«ROAD,BADGERS BANK ROAD,
2011,Birmingham," Baldmoorí«Lakeí«Road,í«Erdington,í«Birmingham."," Baldmoor Lake Road, Erdington, Birmingham.",
2011,Birmingham," bandywoodí«Rd,í«kingstanding"," bandywood Rd, kingstanding",
2011,Birmingham,Beckenhamí«Road,Beckenham Road,
2011,Birmingham,Beechesí«Walk,Beeches Walk,
2011,Birmingham,BIRMINGHAMí«RD,BIRMINGHAM RD,
2011,Birmingham,BIRMINGHAMí«RD,BIRMINGHAM RD,
2011,Birmingham," Birminghamí«Rd,í«SC"," Birmingham Rd, SC",
2011,Birmingham,Birminghamí«Road,Birmingham Road,
2011,Birmingham,Birminghamí«Road,Birmingham Road,
2011,Birmingham,birminghamí«roadí«sutton,birmingham road sutton,
2011,Birmingham," Birminghamí«Road,í«Erdington"," Birmingham Road, Erdington",
2011,Birmingham," Birminghamí«Road,í«Suttoní«Coldfield"," Birmingham Road, Sutton Coldfield",
2011,Birmingham," Birminghamí«Road,í«Suttoní«Coldfield"," Birmingham Road, Sutton Coldfield",
2011,Birmingham,BOWLINGí«GREENí«CLOSE,BOWLING GREEN CLOSE,
2011,Birmingham," Bracebridgeí«Road,í«Erdington"," Bracebridge Road, Erdington",
2011,Birmingham,brassingtoní«avenue,brassington avenue,
2011,Birmingham,Bromfordí«Lane,Bromford Lane,
2011,Birmingham," Bromfordí«Lane,í«Erdington,í«B'ham"," Bromford Lane, Erdington, B'ham",
2011,Birmingham,Brookvaleí«parkí«Road,Brookvale park Road,
2011,Birmingham," Carhamptoní«Road,í«Falconí«Lodge,í«Suttoní«Colfield"," Carhampton Road, Falcon Lodge, Sutton Colfield",
2011,Birmingham,Carshaltoní«Road,Carshalton Road,
2011,Birmingham,carshorltoní«Road,carshorlton Road,
2011,Birmingham,chesterí«rd,chester rd,
2011,Birmingham,CHESTERí«ROAD,CHESTER ROAD,
2011,Birmingham," Chesterí«Road,í«Hallsí«gardení«Centre"," Chester Road, Halls garden Centre",
2011,Birmingham,CHURCHí«RDí«ATí«CHESTERí«RD,CHURCH RD AT CHESTER RD,
2011,Birmingham," Collegeí«Road,í«Kingstanding,í«B'ham"," College Road, Kingstanding, B'ham",
2011,Birmingham," Collegeí«Road,í«Kingstanding,í«B'ham"," College Road, Kingstanding, B'ham",
2011,Birmingham," Copshillí«Court,í«Mountí«View,í«Suttoní«Coldfield"," Copshill Court, Mount View, Sutton Coldfield",
2011,Birmingham," Dovedaleí«Road,í«Erdington,í«B'ham"," Dovedale Road, Erdington, B'ham",
2011,Birmingham," Downsideí«Road,í«Erdington,í«B'ham"," Downside Road, Erdington, B'ham",
2011,Birmingham," Eachelhurtí«Road,í«Erdington"," Eachelhurt Road, Erdington",
2011,Birmingham,ERDINGTONí«HALLí«ROAD,ERDINGTON HALL ROAD,
2011,Birmingham,ERDINGTONí«HALLí«ROAD,ERDINGTON HALL ROAD,
2011,Birmingham,Erdingtoní«Highí«Street,Erdington High Street,
2011,Birmingham," Fenthamí«Road,í«Erdington,í«B'ham"," Fentham Road, Erdington, B'ham",
2011,Birmingham,FINCHLEYí«ROAD,FINCHLEY ROAD,
2011,Birmingham," Finchleyí«Road,í«Kingstanding,í«B'ham"," Finchley Road, Kingstanding, B'ham",
2011,Birmingham,GEORGEí«FREDERICKí«ROAD,GEORGE FREDERICK ROAD,
2011,Birmingham,Goldení«Pondí«takeí«awayí«ŒŠí_Œí«Boldmereí«Road,Golden Pond take away ŒŠí_Œ Boldmere Road,
2011,Birmingham,goodí«hopeí«hospital,good hope hospital,
2011,Birmingham,Gracechurchí«Centre,Gracechurch Centre,
2011,Birmingham," Gracechurchí«centre,í«outsideí«Supercigs"," Gracechurch centre, outside Supercigs",
2011,Birmingham," GraceChurchí«Shoppingí«Centre,í«Suttoní«Coldfield"," GraceChurch Shopping Centre, Sutton Coldfield",
2011,Birmingham," grassedí«areaí«,í«pypeí«hayesí«park...."," grassed area , pype hayes park....",
2011,Birmingham,Gravelleyí«lane,Gravelley lane,
