"Year","Area","Street","Street.2","Strange.HTML"
2011,"","Yardley Rd Acocks Green","yardley road acocks green",""
2011,"","Yardley Wood Rd","Yardley Wood Rd",""
2011,"","Yardley Wood Rd","Yardley Wood Rd",""
2011,"","Yew Tree Car Park","Yew Tree car park",""
2011,"","Yew Tree Ln","Yew Tree Ln",""
2011,"","Yew Tree Public House Car Park ","Yew Tree public house car park.",""
2011,"","Armada Pub  Slade Rd  Erdington  Birmingham","Armada Pub, Slade Rd, Erdington, Birmingham",""
2011,"","Armarda Pub   Gravelly Hill","Armarda Pub,  Gravelly Hill",""
2011,"","Armarda Pub  Gravelly Hill","Armarda Pub, Gravelly Hill",""
2011,"","Badgers Bank Rd","BADGERS BANK ROAD",""
2011,"","Baldmoor Lake Rd  Erdington  Birmingham ","Baldmoor Lake Rd, Erdington, Birmingham.",""
2011,"","Bandywood Rd  Kingstanding","bandywood Rd, kingstanding",""
2011,"","Beckenham Rd","Beckenham Rd",""
2011,"","Beeches Walk","Beeches Walk",""
2011,"","Birmingham Rd","BIRMINGHAM RD",""
2011,"","Birmingham Rd","BIRMINGHAM RD",""
2011,"","Birmingham Rd  Sc","Birmingham Rd, SC",""
2011,"","Birmingham Rd","Birmingham Rd",""
2011,"","Birmingham Rd","Birmingham Rd",""
2011,"","Birmingham Rd Sutton","birmingham road sutton",""
2011,"","Birmingham Rd  Erdington","Birmingham Rd, Erdington",""
2011,"","Birmingham Rd  Sutton Coldfield","Birmingham Rd, Sutton Coldfield",""
2011,"","Birmingham Rd  Sutton Coldfield","Birmingham Rd, Sutton Coldfield",""
2011,"","Bowling Green Close","BOWLING GREEN CLOSE",""
2011,"","Bracebridge Rd  Erdington","Bracebridge Rd, Erdington",""
2011,"","Brassington Ave","brassington avenue",""
2011,"","Bromford Ln","Bromford Ln",""
2011,"","Bromford Ln  Erdington  B Ham","Bromford Ln, Erdington, B'ham",""
2011,"","Brookvale Park Rd","Brookvale park Rd",""
2011,"","Carhampton Rd  Falcon Lodge  Sutton Colfield","Carhampton Rd, Falcon Lodge, Sutton Colfield",""
2011,"","Carshalton Rd","Carshalton Rd",""
2011,"","Carshorlton Rd","carshorlton Rd",""
2011,"","Chester Rd","chester rd",""
2011,"","Chester Rd","CHESTER ROAD",""
2011,"","Chester Rd  Halls Garden Centre","Chester Rd, Halls garden Centre",""
2011,"","Church Rd At Chester Rd","CHURCH RD AT CHESTER RD",""
2011,"","College Rd  Kingstanding  B Ham","College Rd, Kingstanding, B'ham",""
2011,"","College Rd  Kingstanding  B Ham","College Rd, Kingstanding, B'ham",""
2011,"","Copshill Court  Mount View  Sutton Coldfield","Copshill Court, Mount View, Sutton Coldfield",""
2011,"","Dovedale Rd  Erdington  B Ham","Dovedale Rd, Erdington, B'ham",""
2011,"","Downside Rd  Erdington  B Ham","Downside Rd, Erdington, B'ham",""
2011,"","Eachelhurt Rd  Erdington","Eachelhurt Rd, Erdington",""
2011,"","Erdington Hall Rd","ERDINGTON HALL ROAD",""
2011,"","Erdington Hall Rd","ERDINGTON HALL ROAD",""
2011,"","Erdington High St","Erdington High St",""
2011,"","Fentham Rd  Erdington  B Ham","Fentham Rd, Erdington, B'ham",""
2011,"","Finchley Rd","FINCHLEY ROAD",""
2011,"","Finchley Rd  Kingstanding  B Ham","Finchley Rd, Kingstanding, B'ham",""
2011,"","George Frederick Rd","GEORGE FREDERICK ROAD",""
2011,"","Golden Pond Take Away        Boldmere Rd","Golden Pond take away ¸æçñîº¸æçÜîº¸æò∂åº¸æôÜêº¸æçñîº¸æåÉ§º Boldmere Rd",""
2011,"","Good Hope Hospital","good hope hospital",""
2011,"","Gracechurch Centre","Gracechurch Centre",""
2011,"","Gracechurch Centre  Outside Supercigs","Gracechurch centre, outside Supercigs",""
2011,"","Gracechurch Shopping Centre  Sutton Coldfield","GraceChurch Shopping Centre, Sutton Coldfield",""
2011,"","Grassed Area   Pype Hayes Park    ","grassed area , pype hayes park....",""
2011,"","Gravelley Ln","Gravelley lane",""
2011,"","Gravelley Ln","Gravelley lane",""
2011,"","Gravelley Ln","Gravelley lane",""
2011,"","Gravelly Ln  Erdington  Birmingham","Gravelly Ln, Erdington, Birmingham",""
2011,"","Hairy Lemon Pub  Sutton Coldfield","hairy lemon pub .sutton coldfield",""
2011,"","Hairy Lemon Pub  Sutton Coldfield","hairy lemon pub .sutton coldfield",""
2011,"","Hermatige Rd","Hermatige Rd",""
2011,"","Hermatige Rd","Hermatige Rd",""
2011,"","Hermitage Drive","HERMITAGE DRIVE",""
2011,"","High St","High St",""
2011,"","High St Erdington","high street erdington",""
2011,"","High St  Erdington","high street, erdington",""
2011,"","High St  Erdington","High St, Erdington",""
2011,"","High St  S C","High St, S/C",""
2011,"","High St  S C","High St, S/C",""
2011,"","Hight St Erdington","Hight St ErdINGTON",""
2011,"","Hunton Hill","HUNTON HILL",""
2011,"","Kfc Retail Outlet   Erdington High St","KFC retail outlet , Erdington High street",""
2011,"","Kingsbury Rd  Erdington  B Ham","Kingsbury Rd, Erdington, B'ham",""
2011,"","Kingstanding Circle","Kingstanding Circle",""
2011,"","Ladywell Walk  Birmingham","Ladywell Walk, Birmingham",""
2011,"","Landsdown Rd","Landsdown Rd",""
2011,"","Lichfield Rd  Mere Green","LICHFIELD ROAD, MERE GREEN",""
2011,"","Lichfield Rd  Sutton Coldfield","LICHFIELD ROAD, SUTTON COLDFIELD",""
2011,"","Lindridge Rd  Sutton Coldfield","Lindridge Rd, Sutton Coldfield",""
2011,"","Little Aston Ln","little aston lane",""
2011,"","Longford Rd","LONGFORD ROAD",""
2011,"","Longford Rd  Kingstanding  B Ham","Longford Rd, Kingstanding, B'ham",""
2011,"","Lower Parade","lower parade",""
2011,"","Lower Parade","LOWER PARADE",""
2011,"","Lower Parade","lower parade",""
2011,"","Lower Parade","lower parade",""
2011,"","Lower Parade","lower parade",""
2011,"","Lower Parade","lower parade",""
2011,"","Lower Parade","LOWER PARADE",""
2011,"","Lower Parade","Lower Parade",""
