"","Year","Area","Street","Street.2"
"384",2011,"","Outside Litten Tree Pub  Birmingham Rd  Sutton Coldfield ","Outside Litten Tree pub, Birmingham Rd, Sutton Coldfield`"
"385",2011,"","Outside Moo Moo Club  Town Centre  Sutton Coldfield","Outside Moo Moo Club, Town Centre, Sutton Coldfield"
"386",2011,"","Outside Moo Moo Night Club  South Parade","Outside Moo Moo night club, South Parade"
"387",2011,"","Outside Temple Parade  Lower Parade","Outside Temple Parade, Lower Parade"
"388",2011,"","Outside The Temple Bar  Lower Parade  Sc","Outside the Temple Bar, Lower Parade, SC"
"389",2011,"","Parade   Sutton Coldfield","PARADE . SUTTON COLDFIELD"
"390",2011,"","Parade Sc","parade SC"
"391",2011,"","Parade Sutton Coldfield","parade sutton coldfield"
"392",2011,"","Parade Sutton Coldfield","parade sutton coldfield"
"393",2011,"","Parade Sutton Coldfield","PARADE SUTTON COLDFIELD"
"394",2011,"","Parade Sutton Town","parade sutton town"
"395",2011,"","Parade  Sutton Coldfield","Parade, Sutton Coldfield"
"396",2011,"","Parade  Sutton Coldfield","Parade, Sutton Coldfield"
"397",2011,"","Parade  Sutton Town Centre","Parade, Sutton Town Centre"
"398",2011,"","Parkeston Crescent  Kinsgatnding  B Ham","Parkeston Crescent, Kinsgatnding, B'ham"
"399",2011,"","Plants Grove Erdington","PLANTS GROVE ERDINGTON"
"400",2011,"","Pype Hayes Rd  Pype Hayes  B Ham","Pype Hayes Rd, Pype Hayes, B'ham"
"401",2011,"","Pype Hayes Rd  Pype Hayes  B Ham","Pype Hayes Rd, Pype Hayes, B'ham"
"402",2011,"","Pype Hayes Rd  Pype Hayes  B Ham","Pype Hayes Rd, Pype Hayes, B'ham"
"403",2011,"","Queen St","queen street"
"404",2011,"","Queen St","queen street"
"405",2011,"","Queen St","queen street"
"406",2011,"","Queen St","queen street"
"407",2011,"","Queen St Sutton Coldfield Town Centre","Queen St Sutton Coldfield Town centre"
"408",2011,"","Queslett Rd East","Queslett Rd East"
"409",2011,"","Redacre Rd Boldmere","REDACRE RD BOLDMERE"
"410",2011,"","Reservoir Rd","RESERVOIR ROAD"
"411",2011,"","Ridgeway","Ridgeway"
"412",2011,"","Slade Rd  Erdington  B Ham","Slade Rd, Erdington, B'ham"
"413",2011,"","Slade Rd  Erdington  B Ham","Slade Rd, Erdington, B'ham"
"414",2011,"","Soth Parade  Sutton Coldfield","Soth parade, Sutton Coldfield"
"415",2011,"","Soth Parade  Sutton Coldfield","Soth parade, Sutton Coldfield"
"416",2011,"","South Parade","south parade"
"417",2011,"","South Parade","SOUTH PARADE"
"418",2011,"","South Parade","SOUTH PARADE"
"419",2011,"","South Parade","South Parade"
"420",2011,"","South Parade","South Parade"
"421",2011,"","South Parade","South Parade"
"422",2011,"","South Parade","South Parade"
"423",2011,"","South Parade","SOUTH PARADE"
"424",2011,"","South Parade","South Parade"
